board_ch,mpv,ix,iy,layer,chi2_ndf,nevent,mc_ch,mc_edep
16,1.05,-3,-2,0,0.9,1220,-999,-999
60,1.64,-3,-2,1,1.21,2267,-999,-999
104,1.36,-3,-2,2,0.95,1983,-999,-999
148,1.49,-3,-2,3,0.96,1890,-999,-999
192,1.37,-3,-2,4,0.86,2239,-999,-999
1,1.22,-3,-1,0,0.73,1404,-999,-999
45,1,-3,-1,1,0,0,-999,-999
89,1,-3,-1,2,0,0,-999,-999
133,1.54,-3,-1,3,0.87,2297,-999,-999
177,1.59,-3,-1,4,1.35,2312,-999,-999
29,1.68,-3,0,0,0.94,1451,-999,-999
73,1,-3,0,1,0,2,-999,-999
117,1,-3,0,2,0,712,-999,-999
161,1.37,-3,0,3,0.72,2074,-999,-999
205,1.43,-3,0,4,0.95,2354,-999,-999
15,1.3,-3,1,0,0.71,1277,-999,-999
59,1,-3,1,1,0,0,-999,-999
103,1.41,-3,1,2,0.96,516,-999,-999
147,1.21,-3,1,3,0.98,2045,-999,-999
191,1.15,-3,1,4,0.92,2246,-999,-999
0,1.49471,-3,2,0,0.78,1151,-999,-999
44,1,-3,2,1,0,0,-999,-999
88,1,-3,2,2,0,0,-999,-999
132,1.51,-3,2,3,0.76,1910,-999,-999
176,1.51,-3,2,4,1.07,1974,-999,-999
19,1.45,-2,-3,0,0.69,1999,-999,-999
63,1.62,-2,-3,1,1.24,3537,-999,-999
107,1.42,-2,-3,2,0.92,3165,-999,-999
151,1.32,-2,-3,3,1.02,3256,-999,-999
195,1.68,-2,-3,4,1.14,3444,-999,-999
3,1.43,-2,-2,0,0.86,2310,-999,-999
47,1.39,-2,-2,1,1.1,3940,-999,-999
91,1.51,-2,-2,2,1.11,3853,-999,-999
135,1.52,-2,-2,3,1.12,4075,-999,-999
179,1.53,-2,-2,4,0.97,3974,-999,-999
31,1.51,-2,-1,0,0.88,2751,-999,-999
75,0.99,-2,-1,1,0.94,4164,-999,-999
119,1.39,-2,-1,2,1.14,3987,-999,-999
163,1.35,-2,-1,3,0.89,4211,-999,-999
207,1.77,-2,-1,4,1.21,4194,-999,-999
18,1.5,-2,0,0,1.18,2411,-999,-999
62,1.71,-2,0,1,1.49,4525,-999,-999
106,1.06,-2,0,2,1.12,3904,1.70459139347076,1.15118801593781
150,1.44,-2,0,3,1.11,3986,-999,-999
194,1.68,-2,0,4,1.27,4584,-999,-999
2,1.52,-2,1,0,0.99,2547,-999,-999
46,1.18394,-2,1,1,0.9,4247,-999,-999
90,1.22,-2,1,2,1.32,4367,-999,-999
134,1.48,-2,1,3,1.23,4272,-999,-999
178,1.55,-2,1,4,1.01,4278,-999,-999
30,1.66,-2,2,0,1.31,2584,-999,-999
74,1.19,-2,2,1,8.21,3512,-999,-999
118,0.97,-2,2,2,1.01,3288,-999,-999
162,1.53,-2,2,3,1.06,3868,-999,-999
206,1.74,-2,2,4,1.15,3977,-999,-999
17,1.46,-2,3,0,0.73,1524,-999,-999
