ene_noise_MeV,layer
3.803291,0.000000
4.869517,0.000000
4.139514,0.000000
4.279618,0.000000
3.703517,0.000000
4.669105,0.000000
3.999690,0.000000
5.035014,0.000000
7.062500,0.000000
4.694239,0.000000
5.012293,0.000000
4.757554,0.000000
7.019949,0.000000
6.591166,0.000000
6.817396,0.000000
5.051041,0.000000
6.300589,0.000000
4.163149,0.000000
4.729796,0.000000
4.573719,0.000000
4.518123,0.000000
10.994386,0.000000
6.041924,0.000000
3.941568,0.000000
4.019227,0.000000
3.777790,0.000000
3.547771,0.000000
3.887214,0.000000
3.318851,0.000000
4.496573,0.000000
4.645310,0.000000
4.633450,0.000000
3.122954,0.000000
4.236894,0.000000
4.676753,0.000000
4.425976,0.000000
4.784109,0.000000
3.665105,0.000000
4.014064,0.000000
4.495628,0.000000
4.064845,0.000000
5.871854,0.000000
4.963227,0.000000
4.517917,0.000000
22.191799,1.000000
21.515283,1.000000
17.809278,1.000000
15.722934,1.000000
18.202690,1.000000
14.224054,1.000000
13.697041,1.000000
14.645836,1.000000
20.487847,1.000000
28.010733,1.000000
20.514920,1.000000
20.433155,1.000000
20.223935,1.000000
19.952638,1.000000
18.991635,1.000000
23.139067,1.000000
14.137721,1.000000
19.548328,1.000000
13.897139,1.000000
13.573972,1.000000
13.004135,1.000000
14.509265,1.000000
14.277553,1.000000
19.910151,1.000000
16.387069,1.000000
13.458717,1.000000
15.717636,1.000000
15.908596,1.000000
14.271116,1.000000
20.734634,1.000000
18.210524,1.000000
21.254823,1.000000
13.944945,1.000000
19.895063,1.000000
14.033211,1.000000
17.728016,1.000000
19.132190,1.000000
25.758184,1.000000
18.821355,1.000000
18.045509,1.000000
16.860105,1.000000
18.698635,1.000000
19.155402,1.000000
20.812847,1.000000
24.629928,2.000000
24.223511,2.000000
19.418927,2.000000
15.388630,2.000000
13.985515,2.000000
20.643776,2.000000
18.806643,2.000000
13.268084,2.000000
17.574851,2.000000
14.412183,2.000000
15.691944,2.000000
15.061867,2.000000
13.390081,2.000000
17.954548,2.000000
12.717694,2.000000
15.409852,2.000000
17.981948,2.000000
15.798118,2.000000
22.658050,2.000000
15.340315,2.000000
15.151428,2.000000
14.172711,2.000000
22.581369,2.000000
16.104868,2.000000
14.376032,2.000000
21.285829,2.000000
13.814628,2.000000
18.891891,2.000000
18.145983,2.000000
22.474228,2.000000
24.388946,2.000000
15.848375,2.000000
23.670497,2.000000
26.233739,2.000000
15.880525,2.000000
14.263193,2.000000
20.426567,2.000000
21.343492,2.000000
17.278163,2.000000
23.344903,2.000000
16.515405,2.000000
16.340538,2.000000
22.081582,2.000000
21.743948,2.000000
4.422553,3.000000
4.440497,3.000000
4.558835,3.000000
4.078432,3.000000
5.746668,3.000000
5.671124,3.000000
4.514830,3.000000
3.995344,3.000000
5.049441,3.000000
6.780574,3.000000
4.155366,3.000000
4.249442,3.000000
4.517078,3.000000
4.537250,3.000000
3.875441,3.000000
5.002889,3.000000
4.296503,3.000000
4.246532,3.000000
4.222513,3.000000
4.660472,3.000000
4.170712,3.000000
4.988464,3.000000
4.605434,3.000000
4.019123,3.000000
5.150839,3.000000
4.400073,3.000000
5.406490,3.000000
4.035669,3.000000
3.982903,3.000000
4.470001,3.000000
3.828549,3.000000
4.190456,3.000000
4.264150,3.000000
4.656859,3.000000
4.098006,3.000000
3.706671,3.000000
4.036511,3.000000
5.556282,3.000000
3.521618,3.000000
3.757374,3.000000
3.966889,3.000000
3.589470,3.000000
3.521490,3.000000
3.305356,3.000000
2.699553,4.000000
2.777288,4.000000
2.798058,4.000000
2.766746,4.000000
2.526536,4.000000
2.988768,4.000000
2.583782,4.000000
2.488330,4.000000
2.803228,4.000000
3.416168,4.000000
2.799438,4.000000
2.495546,4.000000
2.647329,4.000000
3.148593,4.000000
2.375284,4.000000
3.650846,4.000000
3.172535,4.000000
3.835834,4.000000
2.340400,4.000000
2.434482,4.000000
2.625612,4.000000
2.913783,4.000000
3.870305,4.000000
2.466087,4.000000
3.588354,4.000000
3.519543,4.000000
2.371144,4.000000
2.767240,4.000000
2.209864,4.000000
3.850511,4.000000
3.587984,4.000000
3.383147,4.000000
3.316394,4.000000
3.417164,4.000000
3.032987,4.000000
3.241078,4.000000
4.097598,4.000000
3.813974,4.000000
3.438177,4.000000
3.305024,4.000000
3.306240,4.000000
3.213650,4.000000
3.464767,4.000000
2.934768,4.000000
6.004802,0.000000
30.022217,1.000000
25.807828,2.000000
5.009258,3.000000
3.255306,4.000000
